时间,持续时间,源IP,目的IP,源NAT后IP,目的NAT前IP,源端口,目的端口,源NAT后端口,目的NAT前端口,动作,应用,策略名称,协议,源安全域,目的安全域,源国家/地区,目的国家/地区,源用户,目的用户,应用分类,应用风险,源资产OS,目的资产OS,源资产名称,目的资产名称,源资产类型,目的资产类型,重点关注,方向,攻击者,受害者,攻击者名称,受害者名称,样本,威胁名称,威胁类型,威胁ID,严重性,命中数,文件名称,URL,域名,详细信息,样本类型,样本MD5,威胁子分类,检测方式,样本留存,恶意类型,情报ID,
"2021-06-08 18:54:39","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","50343","8888","50343","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 16:51:32","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","50109","8888","50109","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 14:49:03","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","49314","8888","49314","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 14:47:41","59秒","192.168.28.27","199.212.57.202","115.236.92.180","","49298","8888","49298","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 14:46:41","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","49298","8888","49298","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 14:43:55","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","49287","8888","49287","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
"2021-06-08 14:43:08","12秒","192.168.28.27","199.212.57.202","115.236.92.180","","49270","8080","49270","","阻断","CURL","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","交互软件","1","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Minerd挖矿木马活动事件","情报检测","0","中危","7","","","budaybu.com","","","","黑市工具","","No","","aebcfe1b2e72bdcf5dc5fb9bd51674d6",
"2021-06-08 14:43:02","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","49270","8080","49270","","阻断","CURL","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","交互软件","1","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Minerd挖矿木马活动事件","情报检测","0","中危","1","","","budaybu.com","","","","黑市工具","","No","","aebcfe1b2e72bdcf5dc5fb9bd51674d6",
"2021-06-03 19:36:54","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","51673","8888","51673","","日志","未知应用","outbound","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","MALWARE-CNC挖矿僵尸网络响应通信","防间谍软件","51127","高危","1","","","","","","","僵尸网络","","No","","",
"2021-06-03 19:36:26","0秒","192.168.28.27","199.212.57.202","115.236.92.180","","51673","8888","51673","","日志","未知应用","__intelligence__","TCP","trust","untrust","18楼有线","加拿大","","","未知类别","5","","","","","","","NO","C2S","199.212.57.202","192.168.28.27","","","","Generic Botnet僵尸网络活动事件","情报检测","0","高危","1","","","","199.212.57.202:8888","","","僵尸网络","","No","","7f0e45bd2d0d36ae7724b885000ac27a",
